Input.field_1_1,Input.field_2_1,Input.field_3_1,Input.field_4_1,Input.field_5_1,Input.field_6_1,Input.field_7_1,Input.field_8_1,Input.field_9_1,Input.field_10_1,Input.field_11_1,Input.field_12_1,Input.field_13_1,Input.field_14_1,Input.field_15_1,Input.field_16_1,Input.field_17_1,Input.field_18_1,Input.field_19_1,Input.field_20_1,Input.field_21_1,Input.field_22_1,Input.field_23_1,Input.field_24_1,Input.field_25_1,Input.field_26_1,Input.field_27_1,Input.field_28_1,Input.field_29_1,Input.field_30_1,Input.field_31_1,Input.field_32_1,Input.field_33_1,Input.field_34_1,Input.field_35_1,Input.field_36_1,Input.field_37_1,Input.field_38_1,Input.field_39_1,Input.field_40_1,Answer.Choice1,Answer.Choice10,Answer.Choice11,Answer.Choice12,Answer.Choice13,Answer.Choice14,Answer.Choice15,Answer.Choice16,Answer.Choice17,Answer.Choice18,Answer.Choice19,Answer.Choice2,Answer.Choice20,Answer.Choice21,Answer.Choice22,Answer.Choice23,Answer.Choice24,Answer.Choice25,Answer.Choice26,Answer.Choice27,Answer.Choice28,Answer.Choice29,Answer.Choice3,Answer.Choice30,Answer.Choice31,Answer.Choice32,Answer.Choice33,Answer.Choice34,Answer.Choice35,Answer.Choice36,Answer.Choice37,Answer.Choice38,Answer.Choice39,Answer.Choice4,Answer.Choice40,Answer.Choice5,Answer.Choice6,Answer.Choice7,Answer.Choice8,Answer.Choice9,Answer.ChoiceSample1,Answer.ChoiceSample2
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,the poster rolled up.,A string of small purple ball ornaments folded in half in front of Jack,Jack sat and looked straight ahead.,Jack knocked the bottle of water over with an orange ball.,The wood blocks fell over in front of Jack.,Jack lit the candlestick.,A thrown orange ball knocked a water bottle over in front of Jack.,Jack rolled a long thin black tube back and forth on a table.,Jack pulled the cork out of a bottle of champagne.,jack pulled string from the ball of string taut.,An upright  pulled out tape measure fell over,jack lifted the keys out of the box.,A red coat rack moved near Jack.,Jack broke a stick in half.,Jack moved an open box on a table,jack laid a long cylinder flat on a table.,jack tilted a picture on an easel a few times.,Jack hammered a nail in a block of wood on a table.,a lid flew off a jar in front of Jack,Jack plugged the prongs into the  electrical outlet,A paper airplane landed on a black folder in front of Jack.,A green ball dropped on a yellow folder,Jack turned the table fan.,jack knocked over a stack of wood blocks,Jack leaned forward and looked at his knees,A toy car rolled past a stack of wood blocks on a table in front of Jack.,Jack walked backwards to the blue curtain,An Orange ball rolled past Jack.,An upright book fell over on a table.,Jack stepped high and walked forward .,a piece of fruit turned on a table.,A piece of paper floated down in front of Jack,Jack dropped a green ball on a yellow  piece of paper,The box slid across the table.,a lot of  small pieces of paper fell in front of Jack,Jack burst the balloon with a pin.,Jack opened a jar.,a badly hung picture swung back and forth on Jack's left side.,A string of small purple ball ornaments straightened out in front of Jack,jack crushed a paper carton in his hands,The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The paper rolled up,The necklace is unfolded,The man sits still,The man hits the bottle with the ball,The tower falls off,The man lights the candle,The bottle was hit with the ball,The man rolls the object A,The man uncorks the bottle,The man straightens the thread,The measuring tape falls off,The man picked the keys from the box,The coat hanger moves closer to the man,The man breaks the stick,The man moves the cardboard box,The man lays down the object A,The man wiggles the wall hanging,The man hits the nail with the hammer,The cover flew off from the jar,The man plugs the charger in the socket,Paper rocket flies by the man,The green object falls in front of the man,The man turned the fan,The man topples the tower,The man bows down,A toy car passes in front of the tower,The man walks backwards to the blue background,Ball rolls by in front of the man,Book falls in front of the man,The man stomps away from the blue background,The object rolls in front of the man,A paper flew down in front of the man,The man drops the green object,The box moved sideways,Lot of papers flew by the man,The man popped the balloon,The man opens the jar,The wall hanging swings,the necklace is stretched,The man crumbled the paper,The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The paper rolled up to the left,The object was raised above the screen,The marker was dragged across the table to the left,The man knocked the bottle over with the balloon,The object collapsed onto the table,The man lit the candle,A ball was thrown that knocked over a bottle,The man rolled the object back and forth,The man uncorked the bottle,The man pulled the string apart,The tape measure collapsed,The man grabbed keys out of the box,The object moved from left to right,The man broke the object into two halves,The man moved the box from left to right,The man rotated the object from vertical to horizontal,The man rotated the painting back and forth,The man hammered a nail,The plastic lid of a jar flew off the object,A man plugged in an object into an electrical socket,A paper airplane landed on the table,An object was dropped onto the table,The man turned the fan,An object was knocked over by the man,The man did a very low bow,A car was rolled across the table,A man walked backwards,The ball rolled from right to left,The book fell over,The man marched forward,The object was spun,A paper was dropped onto the table,The man dropped an object,The box moved to the left,Many cards were dropped onto the table,The man popped the balloon,The man removed the lid,The picture swung back and forth,The object was stretched apart,The man squished the object into his hand,The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The paper rolled up.,The ends of the beads were brought together.,The pen slid across the table.,The man knocked the bottle over.,The blocks fell over.,The man lit the candle.,A ball knocked over the bottle.,The man rolled the tube back and forth.,The man uncorked the bottle.,The man pulled the twine taught.,The measuring tape fell over.,The man took the keys out of the box.,The coatrack moved toward the man.,The man broke the stick.,The man slid the box across the table.,The man set down the tube.,The man turned the painting back and forth.,The man hammered the nail.,The jar was opened.,The main plugged in the cord.,A paper airplane hit the folder.,The green object fell on the manilla folder.,The man turned the fan.,The man knocked over the blocks.,The man bowed.,A toy car rolled past the blocks.,The man walked backwards.,The ball rolled across the table.,The book fell over.,The man marched forward.,The bun spun.,The paper floated down.,The man dropped the green object.,The box slid across the table.,The papers were shot onto the table.,The man popped the balloon.,The man opened the jar.,The picture swung back and forth.,The beads were straightened out.,The man crumpled the can.,The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The poster rolled up.,The beads are pulled up.,The man is sitting.,The man uses a ball to knock over a bottle.,The blocks fall down.,The man lights a candle.,A ball knocks over a bottle.,The man rolls the object back and forth.,The man uncorks the bottle.,The man pulls the string tight.,A yellow tape falls.,The man took keys out of a box.,The coat rack slides.,The man breaks a stick.,The man slides the box.,The man lies the object down.,The man turns the poster.,The man hammers a nail.,The lid falls off.,The man pulled in the object.,A paper plane flies.,A ball drops.,The man turned the fan.,The man knocks blocks over.,The man bows.,A car moves across the table.,The man walks backwards.,A ball rolls across the table.,The book fell.,The man marches.,The bread spins.,Paper falls.,The man dropped the ball.,The box slid across the table.,Papers fall.,The man popped a balloon.,The man opened a jar.,The poster is swinging.,The beads are stretched out.,The man crushes a milk carton.,The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The paper rolled up.,The chain was compressed.,The small pen-sized object moved across the table.,The man knocked down the bottle with the orange ball.,The stacked blockssfell apart.,The man lit the candle.,The ball knocked over the bottle.,The man rolled the poster.,The man uncorked the bottle.,The man stretched the yarn.,The ruler slumped over.,The man took keys from the box.,The stick with two hooks moved right.,The man broke the stick.,The man moved the box.,The man moved the poster.,The man shifted the picture.,The man hammered a nail.,The lid flew off of the container.,The man connected a plug.,The paper airplane flew by.,The green ball dropped on the table.,The man moved the fan.,The man knocked over the blocks.,The man bowed.,A toy car moved across the table.,The man walked backward.,The ball rolled on the table.,The book fell over.,The man marched forward.,The rock spun around.,A sheet of paper fell on the table.,The man dropped the green object.,The box moved across the table.,The pieces of paper flew onto the table.,The man popped the balloon.,The man removed the lid from the jar.,The picture moved back and forth.,The necklace stretched out.,The man compacted the object.,The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,Jack ignored the poster.,{},{},{},{},{},{},{},{},{},{},Jack picked up the keys.,{},{},{},{},{},{},{},{},{},{},Jack turned the electric fan.,{},{},{},{},{},{},{},{},{},{},Jack telepathically moved the box.,{},jack popped the balloon.,jack opened the lid.,{},{},{},The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The object was rolled up.,The object curves.,The marker slides across the table.,The man hits the bottle with the ball.,The object falls apart.,The man lights a candle.,The object flies into the water bottle.,The man rolls the poster.,The man opens a wine bottle.,The man stretches out the string.,The tape ruler falls down.,The man grabs the keys from the box.,The object walks across the room.,The man breaks the stick.,The man slides the box across the table.,The man places the poster on the table.,The man swings the poster.,The man hammers the nail.,The lid flew off the bottle.,The man plugs in the cord.,The object flies across the room.,The object falls from the sky.,The man turned the fan.,The man knocks over the object.,The man bows down.,The toy car drives across the table.,The man walks backwards.,The object rolls across the table.,The book falls down on the table.,The man marches across the room.,The object spins on the table.,The paper drops onto the table.,The man drops the object on the table.,The box slides across the table.,The papers fly across the table.,The man popped the balloon.,The man opened the jar.,The object is swinging.,The object becomes straight.,The man crushes the box.,The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The paper rolled i,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},The man caught the ball,The book landed in the box
poster-roll-up-IN.mp4,take-keys-out-of-box-TR.mp4,turn-fan-TR.mp4,box-move-IN.mp4,pop-balloon-TR.mp4,take-lid-off-TR.mp4,picture-shift-IN.mp4,string-taughten-IN.mp4,crush-can-TR.mp4,string-relax-IN.mp4,pen-move-IN.mp4,hit-bottle-with-ball-TR.mp4,tower-fall-IN.mp4,light-candle-TR.mp4,ball-hit-waterbottle-IN-TR.mp4,roll-out-TR.mp4,remove-cork-TR.mp4,taughten-string-TR.mp4,tape-measurer-bend-IN.mp4,coat-rack-approach-TR.mp4,break-stick-TR.mp4,move-box-TR.mp4,reorient-pole-TR.mp4,adjust-picture-TR.mp4,hammer-nail-TR.mp4,lid-blow-off-IN.mp4,plug-in-TR.mp4,paper-airplane-land-IN.mp4,ball-drop-no-bounce-IN.mp4,knock-over-tower-TR.mp4,person-bend-over-IN.mp4,car-pass-tower-IN.mp4,walk-backwards-IN.mp4,ball-roll-IN.mp4,book-fall-over-IN.mp4,march-IN.mp4,bread-spin-IN.mp4,paper-drop-IN.mp4,drop-ball-no-bounce-TR.mp4,cards-scatter-IN.mp4,The paper rolled itself up.,the chain became a loop.,the marker moved offscreen.,the man hit the bottle with the ball.,the chair of blocks collapsed.,the man lit a candle,the water bottle was hit with a ball.,the man rolled a tube back and forth.,the man opened a bottle.,the man pulled string tight.,a piece of measuring tape fell over.,The man took keys from the box,a coat rack moved towards the man.,the man broke a stick.,the man moved a box.,the man put a tube on the table.,the man moved a painting back and forth.,{},the lid of a jar came off.,the man plugged something in.,a paper airplane landed on the table.,something green landed on the table.,the man turned the fan.,the man collapsed a chair of blocks.,the man bent at the waist,a toy car drove past a chair made of blocks,the man walked backwards towards a blue curtain,a ball rolled across the table,a book fell over onto the table,the man took high steps away from the curtain,a brown thing spun in a circle on the table.,a sheet of paper fell onto the table.,the man dropped something green onto the table.,the box moved on its own.,sheets of paper were thrown onto the table.,the man popped the balloon,the man opened the jar.,the painting rocked back and forth.,the chain extended itself.,the man crushed the foil.,The man caught the ball,The book landed in the box
