EntryID,Icon
peg,3.3
skateboarding,4.63
shave,6.129
pop,4.125
hunt,4.7780000000000005
drown,2.611
downsize_1,5.484
sail,2.303
juggle,6.371
sew,5.867000000000001
saw,5.875
recording,2.267
swing,6.29
sneeze,6.806
parachute,5.829
rake,5.88
crawl,2.914
dive,4.065
prefer,1.577
cheat_2,1.3330000000000002
kneel,4.1110000000000015
skate,2.4330000000000003
mock,1.7
knitting,4.042
download,2.667
tear,6.8889999999999985
try,1.633
comb,6.185
steal,2.704
inject,6.332999999999998
fly,6.68
call_tty,1.267
thief_2,1.519
sing,2.56
dice,6.129
brag,3.733
wink,5.75
subtract,3.3
whip,6.381
pretend,1.6669999999999998
forfeit,1.633
cover_up,2.889
swallow,5.567
push,7.0
think_over,4.633
promote,3.694
kill,2.556
vomit,6.419
sweep,4.6
pull,6.645
wear,2.167
beat,1.625
zoom_in,4.667
breakdown,3.741
vacuum,4.52
smoking,6.806
waste,2.3
punish,2.667
jump,5.407
lose_game,2.074
decide_1,2.3
upload,3.4330000000000003
accident,3.3
figure,1.871
fall_2,3.2
surf,2.923
stir,6.739
embarrass,3.667
deny,2.839
fight,4.333
graduate,1.267
live_1,1.733
set_up,3.065
act,1.6
disappear,3.0
leave,2.467
throw,5.5139999999999985
worry,3.593
cause,2.028
imagine,3.8
downsize_2,5.226
wander,3.487
grow,5.4670000000000005
cry,6.567
lose,1.4780000000000002
lie,1.433
call_attention,1.7
zoom_off,3.742
health,1.733
film,2.355
owe,3.7
look_appearance,5.632999999999999
accomplish,1.963
forbid,3.16
earn,1.618
invite,3.111
misunderstand,2.889
breathe,5.391
match,3.571
introduce,2.595
translate,2.486
frustrate,2.296
drop,5.5
paint,5.189
cheat_1,1.533
bake_1,1.919
offend,2.68
hope,1.258
announce,4.2
summarize,3.04
appear,2.361
check,6.0
insult,2.714
guess_2,1.806
die,2.839
win,2.1
copy,2.114
weigh,2.56
impact,4.8
travel,2.1
come,6.25
mean_2,1.3
wonder,4.667
call,6.481
bake_2,2.259
own,3.917
borrow,1.433
guess_1,2.233
